# x1	x2
7.40613	-6.57458
7.41332	-6.57628
7.42049	-6.57797
7.42765	-6.57966
7.43479	-6.58134
7.44192	-6.58302
7.44904	-6.58469
7.45614	-6.58635
7.46323	-6.588
7.4703	-6.58965
7.47736	-6.59129
7.48441	-6.59293
7.49144	-6.59455
7.49846	-6.59618
7.50546	-6.59779
7.51245	-6.5994
7.51942	-6.601
7.52638	-6.6026
7.53333	-6.60419
7.54027	-6.60577
7.54718	-6.60735
7.55409	-6.60892
7.56098	-6.61048
7.56786	-6.61204
7.57472	-6.61359
7.58157	-6.61514
7.58841	-6.61668
7.59523	-6.61821
7.60204	-6.61974
7.60884	-6.62126
7.61562	-6.62277
7.62239	-6.62428
7.62915	-6.62579
7.63589	-6.62728
7.64262	-6.62877
7.64933	-6.63026
7.65603	-6.63174
7.66272	-6.63321
7.6694	-6.63468
7.67606	-6.63614
7.6827	-6.63759
7.68934	-6.63904
7.69596	-6.64049
7.70257	-6.64193
7.70916	-6.64336
7.71574	-6.64478
7.72231	-6.64621
7.72887	-6.64762
7.73541	-6.64903
7.74194	-6.65043
7.74846	-6.65183
7.75496	-6.65323
7.76145	-6.65461
7.76793	-6.65599
7.77439	-6.65737
7.78084	-6.65874
7.78728	-6.66011
7.79371	-6.66147
7.80012	-6.66282
7.80652	-6.66417
7.8129	-6.66551
7.81928	-6.66685
7.82564	-6.66818
7.83199	-6.66951
7.83833	-6.67083
7.84465	-6.67215
7.85096	-6.67346
7.85726	-6.67477
7.86354	-6.67607
7.86982	-6.67736
7.87608	-6.67865
7.88232	-6.67994
7.88856	-6.68122
7.89478	-6.68249
7.90099	-6.68376
7.90719	-6.68503
7.91338	-6.68629
7.91955	-6.68754
7.92571	-6.68879
7.93186	-6.69004
7.938	-6.69128
7.94412	-6.69251
7.95023	-6.69374
7.95633	-6.69497
7.96242	-6.69619
7.96849	-6.6974
7.97456	-6.69861
7.98061	-6.69982
7.98665	-6.70102
7.99267	-6.70222
7.99869	-6.70341
8.00469	-6.70459
8.01068	-6.70577
8.01666	-6.70695
8.02263	-6.70812
8.02858	-6.70929
8.03452	-6.71045
8.04045	-6.71161
8.04637	-6.71277
8.05228	-6.71391
8.05818	-6.71506
8.06406	-6.7162
8.06993	-6.71733
8.07579	-6.71846
8.08164	-6.71959
8.08748	-6.72071
8.0933	-6.72183
8.09912	-6.72294
8.10492	-6.72405
8.11071	-6.72515
8.11649	-6.72625
8.12225	-6.72735
8.12801	-6.72844
8.13375	-6.72953
8.13948	-6.73061
8.14521	-6.73168
8.15092	-6.73276
8.15661	-6.73383
